# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_37 FILTER_LEN10_37	4.6e-085	   3.1e-088	        -201.50	       -48.5	       74	        171	         327	        347	  0.43275	2.1e-092	     14703
   1	FILTER_LEN10_38 FILTER_LEN10_38	9.2e-138	   6.1e-141	        -322.85	       -48.5	       74	        171	         514	        544	  0.43275	4.2e-145	     14703
   1	FILTER_LEN10_39 FILTER_LEN10_39	1.4e-083	   9.5e-087	        -198.07	       -51.5	       68	        171	         312	        340	  0.39766	6.5e-091	     14703
   1	FILTER_LEN10_40 FILTER_LEN10_40	1.7e-079	   1.1e-082	        -188.71	       -46.5	       78	        171	         335	        356	  0.45614	7.5e-087	     14703
   1	FILTER_LEN10_41 FILTER_LEN10_41	3.0e-071	   2.0e-074	        -169.70	       -46.5	       78	        171	         323	        349	  0.45614	1.4e-078	     14703
   1	FILTER_LEN10_42 FILTER_LEN10_42	7.8e-126	   5.2e-129	        -295.39	       -46.0	       79	        171	         474	        491	  0.46199	3.5e-133	     14703
   1	FILTER_LEN10_43 FILTER_LEN10_43	1.3e-086	   9.0e-090	        -205.04	       -43.0	       85	        171	         337	        342	  0.49708	6.1e-094	     14703
   1	FILTER_LEN10_44 FILTER_LEN10_44	2.1e-159	   1.4e-162	        -372.70	       -51.5	       68	        171	         543	        581	  0.39766	9.4e-167	     14703
   1	FILTER_LEN10_45 FILTER_LEN10_45	1.1e-136	   7.5e-140	        -320.35	       -46.0	       79	        171	         526	        548	  0.46199	5.1e-144	     14703
   1	FILTER_LEN10_46 FILTER_LEN10_46	1.1e-124	   7.6e-128	        -292.70	       -44.5	       82	        171	         506	        526	  0.47953	5.2e-132	     14703
   1	FILTER_LEN10_47 FILTER_LEN10_47	3.3e-121	   2.2e-124	        -284.74	       -49.0	       73	        171	         461	        493	  0.42690	1.5e-128	     14703
   1	FILTER_LEN10_48 FILTER_LEN10_48	1.2e-091	   7.8e-095	        -216.69	       -47.0	       77	        171	         361	        380	  0.45029	5.3e-099	     14703
   1	FILTER_LEN10_49 FILTER_LEN10_49	1.1e-106	   7.3e-110	        -251.30	       -47.5	       76	        171	         458	        496	  0.44444	4.9e-114	     14703
   1	FILTER_LEN10_50 FILTER_LEN10_50	1.7e-146	   1.1e-149	        -342.99	       -51.0	       69	        171	         558	        613	  0.40351	7.5e-154	     14703
   1	FILTER_LEN10_51 FILTER_LEN10_51	1.0e-111	   6.8e-115	        -262.88	       -44.0	       83	        171	         431	        441	  0.48538	4.6e-119	     14703
   1	FILTER_LEN10_52 FILTER_LEN10_52	3.3e-074	   2.2e-077	        -176.50	       -43.0	       85	        171	         300	        306	  0.49708	1.5e-081	     14703
   1	FILTER_LEN10_53 FILTER_LEN10_53	6.1e-099	   4.0e-102	        -233.47	       -47.0	       77	        171	         430	        464	  0.45029	2.8e-106	     14703
   1	FILTER_LEN10_54 FILTER_LEN10_54	4.7e-080	   3.1e-083	        -189.98	       -43.0	       85	        171	         329	        337	  0.49708	2.1e-087	     14703
   1	FILTER_LEN10_55 FILTER_LEN10_55	7.4e-091	   4.9e-094	        -214.85	       -47.5	       76	        171	         326	        337	  0.44444	3.3e-098	     14703
   1	FILTER_LEN10_56 FILTER_LEN10_56	1.2e-102	   8.3e-106	        -241.96	       -46.5	       78	        171	         398	        416	  0.45614	5.6e-110	     14703
   1	FILTER_LEN10_57 FILTER_LEN10_57	1.8e-148	   1.2e-151	        -347.48	       -49.0	       73	        171	         594	        645	  0.42690	8.4e-156	     14703
   1	FILTER_LEN10_58 FILTER_LEN10_58	1.6e-047	   1.1e-050	        -115.05	       -46.5	       78	        171	         206	        218	  0.45614	7.4e-055	     14703
   1	FILTER_LEN10_59 FILTER_LEN10_59	4.5e-061	   3.0e-064	        -146.26	       -44.5	       80	        171	         250	        260	  0.46784	2.1e-068	     14703
   1	FILTER_LEN10_60 FILTER_LEN10_60	2.8e-191	   1.9e-194	        -446.06	       -46.5	       78	        171	         721	        753	  0.45614	1.3e-198	     14703
   1	FILTER_LEN10_61 FILTER_LEN10_61	3.5e-063	   2.3e-066	        -151.13	       -42.0	       87	        171	         285	        294	  0.50877	1.6e-070	     14703
   1	FILTER_LEN10_62 FILTER_LEN10_62	4.0e-165	   2.7e-168	        -385.85	       -47.0	       77	        171	         654	        694	  0.45029	1.8e-172	     14703
